ORDER;AGE50PL;CUSTID;TSLBO;GENDER;CKBK068;CKBK082;CKBK177;CKBK211;TPAID
1;0;226647298;1;1;0;0;1;0;2
0;0;819634483;7;3;0;0;0;0;1
0;0;153261994;2;1;0;0;1;0;2
0;0;62467885;4;1;1;0;0;0;2
0;0;573007242;6;3;0;0;0;0;4
0;0;279570955;2;3;0;0;0;0;1
0;0;955112486;7;2;0;0;0;0;1
0;0;804257742;4;2;1;0;1;1;2
0;0;498096902;7;3;0;0;0;0;1
1;0;744827405;3;3;1;0;1;0;2
0;0;575533859;6;2;0;0;0;0;1
0;0;557409220;4;3;0;0;0;0;1
0;0;837517899;9;3;0;0;0;0;1
0;0;464241151;2;2;0;0;1;0;2
0;0;958598973;3;3;0;0;0;0;2
0;0;202229049;1;1;0;0;1;0;1
0;0;8861199;3;1;0;0;0;0;2
0;0;71204238;3;3;0;0;0;0;2
0;0;145026169;3;2;0;0;0;1;1
0;0;709801976;3;2;1;0;1;0;1
0;0;598896733;1;3;0;0;0;0;2
0;0;751275928;5;1;1;0;0;0;2
0;0;183799215;12;3;0;0;0;0;1
0;0;62358344;5;1;0;0;0;0;1
0;0;992068273;3;3;0;0;1;0;2
0;0;367210638;7;2;0;0;0;0;4
0;0;426045468;3;3;1;0;1;0;2
0;0;392487284;7;1;0;0;1;0;3
1;0;155827015;7;1;0;0;0;0;1
0;0;327159579;1;2;0;1;0;0;4
0;0;282824722;4;1;0;0;0;0;1
0;0;377299763;1;1;0;0;0;0;1
0;0;196170293;3;2;1;0;0;0;3
0;0;455519465;10;1;1;0;1;0;3
0;0;796779779;3;2;0;0;0;0;1
0;0;446305812;2;2;0;0;1;0;3
0;0;343001493;3;2;0;0;0;0;1
0;0;160059386;3;3;0;0;0;0;2
0;0;225671242;4;3;0;1;0;0;1
0;0;685667005;10;1;1;0;0;0;3
0;0;453998761;7;2;0;0;0;0;2
0;0;340002180;2;3;0;0;1;0;4
0;0;958451158;7;3;1;0;0;0;1
0;0;169645626;4;2;0;0;0;0;1
1;0;591280075;1;3;0;1;1;0;3
0;0;945933818;2;1;0;0;0;0;1
0;0;759532250;2;3;0;0;0;0;1
0;0;433848646;1;2;0;0;1;0;1
0;0;981526770;3;1;0;0;0;0;1
0;0;484134737;4;2;0;1;0;0;1
0;0;227856942;1;1;0;0;0;0;2
0;0;60671425;1;2;0;0;0;0;1
0;0;782848815;1;1;0;0;1;0;5
0;0;893021097;3;3;1;0;0;0;2
0;0;31429718;3;3;0;0;0;0;1
0;0;986951462;4;3;0;0;0;0;2
0;0;280554212;1;1;0;0;0;0;1
0;0;410782566;1;2;0;0;0;0;2
0;0;151812023;8;1;0;0;0;0;4
0;0;419821587;8;2;0;0;0;0;2
0;0;599143552;1;2;0;0;0;0;1
0;0;909852738;1;1;0;0;0;0;3
0;0;657505465;9;2;0;0;0;0;1
0;0;585898952;9;1;0;0;0;1;1
0;0;239039826;3;2;0;0;0;0;2
0;0;230517336;4;1;0;0;0;0;1
0;0;432339680;1;3;0;0;0;0;4
0;0;84479637;5;3;0;0;0;0;1
0;0;472771793;3;1;0;0;0;0;1
0;0;141095593;5;3;0;0;0;1;4
0;0;258717889;1;2;0;0;0;0;3
0;0;551303710;4;3;0;0;0;1;2
0;0;20434773;3;1;0;0;1;1;1
0;0;964382983;1;1;0;0;1;0;1
0;0;950596665;4;2;0;0;0;0;1
0;0;774758011;12;1;0;0;0;0;1
0;0;557402136;1;3;0;0;0;0;1
0;0;536487081;3;3;0;0;0;0;1
1;0;628172970;1;3;0;0;0;1;1
0;0;221094081;6;2;0;0;0;0;1
0;0;139455157;7;1;0;0;0;0;1
0;0;633320311;2;3;0;0;0;0;3
